data,SO2,NO2,PM10,mmhg,tem,rh,ws
2009-07-26,0.031,0.037,0.047,670.313,22.521,44.208,1.25
2009-07-27,0.021,0.022,0.03,665.354,22,57.917,1.542
2009-07-28,0.025,0.034,0.034,668.558,18.93,72.233,1
2009-07-29,0.024,0.035,0.035,667.209,20.488,72.65,0.932
2009-07-30,0.026,0.033,0.081,676.682,22.5,63.682,1.591
