City,Pollutant,Model,MSE,MAE,R2
A,SO2,Linear,0.00011683394017410277,0.008704167970974157,-0.3958241272774916
A,NO2,Linear,5.831740622737655e-05,0.0058323179175491105,-0.0488118539703577
A,PM10,Linear,0.0008408138082311918,0.022964527256523717,-0.23914146443503603
